endpoint_id,score_full_q_mono_pn__pr__regime_1050,score_full_q_mono_pn__pr__regime_1225,score_full_q_mono_pn__pr__regime_1400,score_full_q_mono_pn__pr__regime_1401,score_full_q_mono_pn__pr__regime_1750,score_full_q_mono_pn__pr__regime_1925,score_full_q_mono_pn__pr__regime_1930,score_full_q_mono_pn__pr__regime_2125,score_full_q_mono_pn__pr__regime_2126,score_full_q_mono_pn__pr__regime_2127,score_full_q_mono_pn__pr__regime_2275,score_full_q_mono_pn__pr__regime_2450,score_full_q_mono_pn__pr__regime_2455,score_full_q_mono_pn__pr__regime_2460,score_full_q_mono_pn__pr__regime_2625,score_full_q_mono_pn__pr__regime_2626,score_full_q_mono_pn__pr__regime_2630,score_full_q_mono_pn__pr__regime_2635,score_full_q_mono_pn__pr__regime_525,score_full_q_mono_pn__pr__regime_700
nci_obs_000000,-0.5188746452331543,-0.5188746452331543,-0.7553567290306091,-0.5626488924026489,-0.5188746452331543,-0.5188746452331543,-0.5189046263694763,-1.2239323854446411,-0.72232586145401,-0.5599675178527832,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5189046263694763,-0.5188746452331543,-0.5189846158027649,-0.5189846158027649,-0.5188746452331543,-0.576128363609314
nci_obs_000001,6.452300071716309,6.452300071716309,7.016388416290283,7.020627498626709,7.020657539367676,7.020657539367676,5.6303277015686035,7.4617838859558105,7.469997882843018,7.470037937164307,7.470037937164307,7.470037937164307,6.781588554382324,5.735764503479004,7.470037937164307,7.470037937164307,6.781588554382324,5.735764503479004,5.794877052307129,6.451740264892578
nci_obs_000002,-0.8752068281173706,-0.8758469820022583,-2.3361716270446777,-1.4415704011917114,-0.8752368092536926,-0.8775696158409119,-0.8777796030044556,-2.2135167121887207,-2.211664915084839,-1.4111692905426025,-0.8751968145370483,-0.8753067851066589,-0.8753067851066589,-0.8753067851066589,-0.8840962648391724,-0.8754467964172363,-0.8840962648391724,-0.8840962648391724,-0.8759369850158691,-1.35879647731781
nci_obs_000003,-1.1632548570632935,-1.1634647846221924,-2.0038416385650635,-1.4566333293914795,-1.1632448434829712,-1.1637749671936035,-1.165116548538208,-2.714801549911499,-2.492675304412842,-1.7380812168121338,-1.1632148027420044,-1.1632648706436157,-1.163294792175293,-1.1633847951889038,-1.1650664806365967,-1.1632448434829712,-1.1650965213775635,-1.1654566526412964,-1.1636348962783813,-1.3508120775222778
nci_obs_000004,-1.0397745370864868,-1.4390138387680054,-1.3798195123672485,-1.238002896308899,-1.0741279125213623,-1.204135775566101,-1.6882500648498535,-1.5249338150024414,-1.2103503942489624,-1.1075851917266846,-1.011374831199646,-1.0733643770217896,-1.1399407386779785,-1.1399407386779785,-1.0749757289886475,-1.0733343362808228,-1.2910631895065308,-1.694413661956787,-1.191910982131958,-1.5012378692626953
nci_obs_000005,-1.1867469549179077,-1.1895612478256226,-1.728782057762146,-1.331909418106079,-1.1034727096557617,-1.110449194908142,-1.1990351676940918,-2.4804975986480713,-1.780300498008728,-1.4069252014160156,-1.0835567712783813,-1.0842671394348145,-1.0958850383758545,-1.1339898109436035,-1.1008862257003784,-1.0845472812652588,-1.112504243850708,-1.150609016418457,-1.3839408159255981,-1.455003261566162
nci_obs_000006,-1.052545189857483,-1.932647466659546,-1.606217861175537,-1.5704045295715332,-1.1466798782348633,-1.5682896375656128,-2.6805498600006104,-1.366607666015625,-1.2914642095565796,-1.281058669090271,-0.9685713052749634,-1.2801580429077148,-1.3203351497650146,-1.3203351497650146,-1.282351016998291,-1.279968023300171,-1.9866936206817627,-3.010571002960205,-1.4555633068084717,-1.9488890171051025
nci_obs_000007,-0.4892709255218506,-0.49131208658218384,-1.9050166606903076,-1.9028342962265015,-0.4892609119415283,-0.494836688041687,-0.494836688041687,-1.3380740880966187,-1.3331915140151978,-1.3330414295196533,-0.48921090364456177,-0.48938092589378357,-0.48938092589378357,-0.48938092589378357,-0.5110373497009277,-0.48975107073783875,-0.5110373497009277,-0.5110373497009277,-0.4912523627281189,-1.434131383895874
nci_obs_000008,-5.1317524909973145,-5.1317524909973145,-4.285747051239014,-4.285737037658691,-4.285737037658691,-4.285737037658691,-8.25297737121582,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-6.659946441650391,-10.447206497192383,-3.5345776081085205,-3.5345776081085205,-6.659946441650391,-10.447206497192383,-6.059309005737305,-5.1317524909973145
nci_obs_000009,-0.5531622767448425,-0.5542730093002319,-0.7722062468528748,-0.5944151878356934,-0.5531722903251648,-0.5547536611557007,-0.6040095686912537,-0.8017425537109375,-0.6284940242767334,-0.5640544295310974,-0.553082287311554,-0.5532722473144531,-0.5552237033843994,-0.5668190121650696,-0.5569397211074829,-0.5530923008918762,-0.5652392506599426,-0.5768345594406128,-0.5538625717163086,-0.6537758111953735
