endpoint_id,score_old_monoallelic__roc__regime_1225,score_old_monoallelic__roc__regime_1575,score_old_monoallelic__roc__regime_1750,score_old_monoallelic__roc__regime_1925,score_old_monoallelic__roc__regime_1926,score_old_monoallelic__roc__regime_2154,score_old_monoallelic__roc__regime_2275,score_old_monoallelic__roc__regime_2276,score_old_monoallelic__roc__regime_2278,score_old_monoallelic__roc__regime_2279,score_old_monoallelic__roc__regime_2327,score_old_monoallelic__roc__regime_2450,score_old_monoallelic__roc__regime_2451,score_old_monoallelic__roc__regime_2452,score_old_monoallelic__roc__regime_2503,score_old_monoallelic__roc__regime_2625,score_old_monoallelic__roc__regime_2626,score_old_monoallelic__roc__regime_2628,score_old_monoallelic__roc__regime_2652,score_old_monoallelic__roc__regime_2679
nci_obs_000000,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14350783824920654,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452
nci_obs_000001,6.817883014678955,7.386240482330322,7.386240482330322,7.386240482330322,7.386240482330322,7.835620880126953,7.835620880126953,7.835620880126953,7.835620880126953,7.835620880126953,7.835620880126953,7.835620880126953,7.835620880126953,7.835620880126953,7.835620880126953,7.835620880126953,7.835620880126953,7.835620880126953,7.835620880126953,7.835620880126953
nci_obs_000002,-0.09544448554515839,-0.09479428827762604,-0.09483428299427032,-0.09716709703207016,-0.09482426941394806,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.09490425884723663,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.10369376093149185,-0.09504429996013641,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604
nci_obs_000003,-0.2019011676311493,-0.20165115594863892,-0.20168113708496094,-0.20221130549907684,-0.20166116952896118,-0.20165115594863892,-0.20165115594863892,-0.20165115594863892,-0.20165115594863892,-0.20165115594863892,-0.20165115594863892,-0.20170117914676666,-0.20165115594863892,-0.20165115594863892,-0.20165115594863892,-0.20350287854671478,-0.20168113708496094,-0.20165115594863892,-0.20165115594863892,-0.20165115594863892
nci_obs_000004,-0.5991413593292236,-0.1694340854883194,-0.23425547778606415,-0.3642633557319641,-0.36367321014404297,-0.2334318459033966,-0.17150232195854187,-0.16649974882602692,-0.16647972166538239,-0.16647972166538239,-0.16647972166538239,-0.23349186778068542,-0.1766512393951416,-0.16695982217788696,-0.16647972166538239,-0.23510324954986572,-0.23346182703971863,-0.16709990799427032,-0.2334318459033966,-0.16647972166538239
nci_obs_000005,-0.31691113114356995,-0.21993349492549896,-0.2308226078748703,-0.23779906332492828,-0.23077258467674255,-0.21089665591716766,-0.21090666949748993,-0.21013562381267548,-0.20910505950450897,-0.20910505950450897,-0.20910505950450897,-0.21161693334579468,-0.21090666949748993,-0.21089665591716766,-0.20910505950450897,-0.2282360941171646,-0.2118971347808838,-0.21089665591716766,-0.2109166830778122,-0.20910505950450897
nci_obs_000006,-1.1071760654449463,-0.13551466166973114,-0.32120847702026367,-0.742818295955658,-0.7249211072921753,-0.45446670055389404,-0.14309997856616974,-0.12407849729061127,-0.12398848682641983,-0.12398848682641983,-0.12398848682641983,-0.4546867311000824,-0.15083564817905426,-0.12499900162220001,-0.12398848682641983,-0.4568796157836914,-0.45449671149253845,-0.12398848682641983,-0.35882511734962463,-0.12398848682641983
nci_obs_000007,-0.14260536432266235,-0.14050418138504028,-0.14055418968200684,-0.14612996578216553,-0.1405642032623291,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028,-0.1406741887331009,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028,-0.16233065724372864,-0.14104434847831726,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028
nci_obs_000008,-4.236320972442627,-3.390305280685425,-3.390305280685425,-3.390305280685425,-3.390305280685425,-2.639145612716675,-2.639145612716675,-2.639145612716675,-2.639145612716675,-2.639145612716675,-2.639145612716675,-2.639145612716675,-2.639145612716675,-2.639145612716675,-2.639145612716675,-2.639145612716675,-2.639145612716675,-2.639145612716675,-2.639145612716675,-2.639145612716675
nci_obs_000009,-0.16574522852897644,-0.16455450654029846,-0.1646445095539093,-0.16622592508792877,-0.16455450654029846,-0.1645444929599762,-0.16455450654029846,-0.1645444929599762,-0.1645444929599762,-0.1645444929599762,-0.1645444929599762,-0.16474448144435883,-0.1645444929599762,-0.1645444929599762,-0.1645444929599762,-0.1684119552373886,-0.16456452012062073,-0.1645444929599762,-0.1645444929599762,-0.1645444929599762
