endpoint_id,score_full_hla__roc__regime_1427,score_full_hla__roc__regime_1800,score_full_hla__roc__regime_1975,score_full_hla__roc__regime_2103,score_full_hla__roc__regime_2154,score_full_hla__roc__regime_2275,score_full_hla__roc__regime_2277,score_full_hla__roc__regime_2278,score_full_hla__roc__regime_2279,score_full_hla__roc__regime_2326,score_full_hla__roc__regime_2450,score_full_hla__roc__regime_2451,score_full_hla__roc__regime_2452,score_full_hla__roc__regime_2453,score_full_hla__roc__regime_2454,score_full_hla__roc__regime_2625,score_full_hla__roc__regime_2653,score_full_hla__roc__regime_2676,score_full_hla__roc__regime_2677,score_full_hla__roc__regime_2679
nci_obs_000000,-0.5189146399497986,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188846588134766,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543
nci_obs_000001,5.849057674407959,5.849057674407959,5.849057674407959,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199
nci_obs_000002,-0.8805209398269653,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8752068281173706,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8757769465446472,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483
nci_obs_000003,-1.1758543252944946,-1.163294792175293,-1.1636948585510254,-1.163234829902649,-1.1632148027420044,-1.1632248163223267,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.163294792175293,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1643353700637817,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044
nci_obs_000004,-2.0652549266815186,-1.0064620971679688,-1.0283114910125732,-1.7159132957458496,-1.3197623491287231,-1.0066821575164795,-1.006352186203003,-1.006352186203003,-1.006352186203003,-1.006352186203003,-1.015302062034607,-1.0065321922302246,-1.006352186203003,-1.006352186203003,-1.006352186203003,-1.205059289932251,-1.006352186203003,-1.0164833068847656,-1.0068923234939575,-1.006352186203003
nci_obs_000005,-1.5643025636672974,-1.1002858877182007,-1.5639424324035645,-1.3135738372802734,-1.3135738372802734,-1.0833264589309692,-1.0817551612854004,-1.0817551612854004,-1.0817551612854004,-1.0817551612854004,-1.18072509765625,-1.0933724641799927,-1.0826456546783447,-1.0817551612854004,-1.0817551612854004,-1.3147845268249512,-1.081775188446045,-1.3135838508605957,-1.2725889682769775,-1.0817551612854004
nci_obs_000006,-1.6126987934112549,-0.9498599171638489,-1.1207939386367798,-1.1282635927200317,-0.9494598507881165,-0.9507606625556946,-0.9494598507881165,-0.9494598507881165,-0.9494598507881165,-0.9494598507881165,-0.9833268523216248,-0.9501600861549377,-0.9494698643684387,-0.9494598507881165,-0.9494598507881165,-1.2726171016693115,-0.9494598507881165,-1.014691948890686,-0.9541809558868408,-0.9494598507881165
nci_obs_000007,-0.5134783983230591,-0.48921090364456177,-0.4894509017467499,-0.48958098888397217,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.4892609119415283,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.49128252267837524,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177
nci_obs_000008,-4.992252826690674,-4.992252826690674,-4.992252826690674,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213
nci_obs_000009,-0.7211675643920898,-0.7207674980163574,-0.7208074927330017,-0.5973899364471436,-0.5973899364471436,-0.5973999500274658,-0.5973899364471436,-0.5973899364471436,-0.5973899364471436,-0.5973899364471436,-0.5974499583244324,-0.5973899364471436,-0.5973899364471436,-0.5973899364471436,-0.5973899364471436,-0.5990613102912903,-0.5973899364471436,-0.5973899364471436,-0.5973899364471436,-0.5973899364471436
nci_obs_000010,-5.470005512237549,-5.470005512237549,-5.470005512237549,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276453971862793,-5.276443958282471,-5.276443958282471,-5.276443958282471,-5.276443958282471
nci_obs_000011,-1.6563353538513184,-0.37628307938575745,-0.4006861746311188,-0.3869674503803253,-0.37180304527282715,-0.37378501892089844,-0.37180304527282715,-0.37180304527282715,-0.37180304527282715,-0.3718130588531494,-0.3851112425327301,-0.3723432123661041,-0.3718130588531494,-0.37180304527282715,-0.37180304527282715,-0.6062098145484924,-0.37180304527282715,-0.3942531645298004,-0.37425604462623596,-0.37180304527282715
nci_obs_000012,-0.6214786171913147,-0.5915630459785461,-0.663494348526001,-0.5905725955963135,-0.5905725955963135,-0.5920631885528564,-0.5905725955963135,-0.5905725955963135,-0.5905725955963135,-0.5905725955963135,-0.6180915236473083,-0.5910026431083679,-0.5905725955963135,-0.5905725955963135,-0.5905725955963135,-0.7443230152130127,-0.5905725955963135,-0.6145073771476746,-0.5906425714492798,-0.5905725955963135
nci_obs_000013,-2.13785719871521,-2.13785719871521,-2.138127326965332,-1.7691136598587036,-1.7691136598587036,-1.7691136598587036,-1.7691136598587036,-1.7691136598587036,-1.7691136598587036,-1.7691136598587036,-1.7691336870193481,-1.7691136598587036,-1.7691136598587036,-1.7691136598587036,-1.7691136598587036,-1.7693936824798584,-1.7691136598587036,-1.7691136598587036,-1.7691136598587036,-1.7691136598587036
nci_obs_000014,-1.925125241279602,-0.39523205161094666,-0.4443063735961914,-0.9314612150192261,-0.39658352732658386,-0.3957023620605469,-0.39482197165489197,-0.39482197165489197,-0.39482197165489197,-0.39482197165489197,-0.4096716642379761,-0.39504197239875793,-0.39482197165489197,-0.39482197165489197,-0.39482197165489197,-0.5560358762741089,-0.39482197165489197,-0.40146395564079285,-0.3950119912624359,-0.39482197165489197
nci_obs_000015,-0.5799408555030823,-0.5219403505325317,-0.528295636177063,-0.5280691385269165,-0.5219203233718872,-0.522010326385498,-0.5219203233718872,-0.5219203233718872,-0.5219203233718872,-0.5219203233718872,-0.5241127014160156,-0.5219303369522095,-0.5219203233718872,-0.5219203233718872,-0.5219203233718872,-0.5487880706787109,-0.5219203233718872,-0.5225304961204529,-0.5219203233718872,-0.5219203233718872
nci_obs_000016,-3.1481072902679443,-3.1481072902679443,-3.1481072902679443,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178,-2.5404164791107178
nci_obs_000017,-0.759036660194397,-0.6915377378463745,-0.6956053376197815,-0.6963300108909607,-0.6892449855804443,-0.6892650127410889,-0.6891949772834778,-0.6891949772834778,-0.6891949772834778,-0.6891949772834778,-0.6901553869247437,-0.6892349720001221,-0.6891949772834778,-0.6891949772834778,-0.6891949772834778,-0.704521119594574,-0.6891949772834778,-0.6896050572395325,-0.6892549991607666,-0.6891949772834778
